,Zone,Pays_cluster
1,Afghanistan,1
4,Angola,1
159,Burkina Faso,1
33,Bénin,1
19,Cameroun,1
28,Congo,1
72,Côte d'Ivoire,1
49,Gambie,1
52,Ghana,1
57,Guinée,1
123,Guinée-Bissau,1
68,Iraq,1
78,Kenya,1
87,Libéria,1
90,Madagascar,1
91,Malawi,1
101,Mozambique,1
111,Niger,1
112,Nigéria,1
155,Ouganda,1
127,Rwanda,1
147,République-Unie de Tanzanie,1
134,Sénégal,1
141,Tadjikistan,1
24,Tchad,1
149,Togo,1
166,Yémen,1
167,Zambie,1
164,Éthiopie,1
16,Îles Salomon,1
11,Bangladesh,2
15,Belize,2
12,Bolivie (État plurinational de),2
13,Botswana,2
21,Cabo Verde,2
79,Cambodge,2
46,Djibouti,2
142,Eswatini,2
55,Grenade,2
56,Guatemala,2
59,Haïti,2
60,Honduras,2
65,Inde,2
66,Indonésie,2
86,Lesotho,2
103,Namibie,2
110,Nicaragua,2
104,Népal,2
114,Pakistan,2
117,Papouasie-Nouvelle-Guinée,2
118,Paraguay,2
120,Philippines,2
119,Pérou,2
22,République centrafricaine,2
102,République de Moldova,2
36,République dominicaine,2
84,République démocratique populaire lao,2
80,République populaire démocratique de Corée,2
132,Sao Tomé-et-Principe,2
135,Sierra Leone,2
172,Soudan,2
23,Sri Lanka,2
140,Suriname,2
148,Thaïlande,2
124,Timor-Leste,2
108,Vanuatu,2
125,Zimbabwe,2
38,Équateur,2
138,Afrique du Sud,3
3,Algérie,3
133,Arabie saoudite,3
32,Azerbaïdjan,3
48,Gabon,3
67,Iran (République islamique d'),3
76,Jordanie,3
77,Kirghizistan,3
82,Koweït,3
85,Liban,3
93,Maldives,3
94,Mali,3
100,Maroc,3
96,Mauritanie,3
151,Oman,3
161,Ouzbékistan,3
152,Tunisie,3
145,Turkménistan,3
153,Turquie,3
39,Égypte,3
5,Antigua-et-Barbuda,4
9,Bahamas,4
10,Barbade,4
14,Brésil,4
17,Bulgarie,4
25,Chili,4
146,"Chine, Taiwan Province de",4
31,Chypre,4
27,Colombie,4
29,Costa Rica,4
63,Croatie,4
35,Dominique,4
40,El Salvador,4
42,Fidji,4
58,Guyana,4
47,Géorgie,4
62,Hongrie,4
74,Jamaïque,4
75,Japon,4
73,Kazakhstan,4
53,Kiribati,4
107,Macédoine du Nord,4
92,Malaisie,4
97,Maurice,4
98,Mexique,4
99,Mongolie,4
18,Myanmar,4
106,Nouvelle-Calédonie,4
109,Nouvelle-Zélande,4
115,Panama,4
45,Polynésie française,4
129,Saint-Kitts-et-Nevis,4
131,Saint-Vincent-et-les Grenadines,4
130,Sainte-Lucie,4
165,Samoa,4
170,Serbie,4
137,Slovaquie,4
150,Trinité-et-Tobago,4
157,Ukraine,4
162,Venezuela (République bolivarienne du),4
163,Viet Nam,4
2,Albanie,5
50,Allemagne,5
6,Argentine,5
0,Arménie,5
7,Australie,5
8,Autriche,5
168,Belgique,5
51,Bosnie-Herzégovine,5
37,Bélarus,5
20,Canada,5
173,Chine,5
61,Chine - RAS de Hong-Kong,5
89,Chine - RAS de Macao,5
26,"Chine, continentale",5
30,Cuba,5
34,Danemark,5
139,Espagne,5
41,Estonie,5
43,Finlande,5
44,France,5
128,Fédération de Russie,5
54,Grèce,5
69,Irlande,5
64,Islande,5
70,Israël,5
71,Italie,5
83,Lettonie,5
88,Lituanie,5
169,Luxembourg,5
95,Malte,5
171,Monténégro,5
113,Norvège,5
105,Pays-Bas,5
121,Pologne,5
122,Portugal,5
126,Roumanie,5
156,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,5
81,République de Corée,5
136,Slovénie,5
144,Suisse,5
143,Suède,5
116,Tchéquie,5
160,Uruguay,5
154,Émirats arabes unis,5
158,États-Unis d'Amérique,5
