Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"SCL","Compte Disponibilités et Utilisations (CDU)","2","Afghanistan","5610","Importations - Quantité","21122","Viande, canard","2014","2014","tonnes","129","*","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU)","2","Afghanistan","5141","Disponibilité alimentaire en quantité (tonnes)","21122","Viande, canard","2014","2014","tonnes","129","F","Estimation FAO"
"SCL","Compte Disponibilités et Utilisations (CDU)","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","21122","Viande, canard","2014","2014","Kcal/personne/jour","0","Fc","Donnée calculée"
"SCL","Compte Disponibilités et Utilisations (CDU)","2","Afghanistan","5610","Importations - Quantité","21124","Viande, dinde","2014","2014","tonnes","250","*","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU)","2","Afghanistan","5141","Disponibilité alimentaire en quantité (tonnes)","21124","Viande, dinde","2014","2014","tonnes","250","F","Estimation FAO"
"SCL","Compte Disponibilités et Utilisations (CDU)","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","21124","Viande, dinde","2014","2014","Kcal/personne/jour","0","Fc","Donnée calculée"
"SCL","Compte Disponibilités et Utilisations (CDU)","2","Afghanistan","5610","Importations - Quantité","21123","Viande, oie","2014","2014","tonnes","4","*","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU)","2","Afghanistan","5141","Disponibilité alimentaire en quantité (tonnes)","21123","Viande, oie","2014","2014","tonnes","4","F","Estimation FAO"
"SCL","Compte Disponibilités et Utilisations (CDU)","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","21123","Viande, oie","2014","2014","Kcal/personne/jour","0","Fc","Donnée calculée"
"SCL","Compte Disponibilités et Utilisations (CDU)","2","Afghanistan","5510","Production","21121","Viande, volaille","2014","2014","tonnes","22126","Im","Données de la FAO basées sur une méthodologie d'imputation"
"SCL","Compte Disponibilités et Utilisations (CDU)","2","Afghanistan","5610","Importations - Quantité","21121","Viande, volaille","2014","2014","tonnes","42300","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","2","Afghanistan","5071","Variation de stock","21121","Viande, volaille","2014","2014","tonnes","-8871","Im","Données de la FAO basées sur une méthodologie d'imputation"
"SCL","Compte Disponibilités et Utilisations (CDU)","2","Afghanistan","5141","Disponibilité alimentaire en quantité (tonnes)","21121","Viande, volaille","2014","2014","tonnes","73296","Im","Données de la FAO basées sur une méthodologie d'imputation"
"SCL","Compte Disponibilités et Utilisations (CDU)","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, volaille","2014","2014","Kcal/personne/jour","8","Fc","Donnée calculée"
"SCL","Compte Disponibilités et Utilisations (CDU)","202","Afrique du Sud","5510","Production","21122","Viande, canard","2014","2014","tonnes","1151","Im","Données de la FAO basées sur une méthodologie d'imputation"
"SCL","Compte Disponibilités et Utilisations (CDU)","202","Afrique du Sud","5610","Importations - Quantité","21122","Viande, canard","2014","2014","tonnes","183","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","202","Afrique du Sud","5071","Variation de stock","21122","Viande, canard","2014","2014","tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"SCL","Compte Disponibilités et Utilisations (CDU)","202","Afrique du Sud","5910","Exportations - Quantité","21122","Viande, canard","2014","2014","tonnes","491","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","202","Afrique du Sud","5141","Disponibilité alimentaire en quantité (tonnes)","21122","Viande, canard","2014","2014","tonnes","843","F","Estimation FAO"
